MASK-ch,f_c[kHz],f_b[kHz], masked
428,1006.938 ,1009.250 ,1
429,1009.250 ,1011.563 ,0
430,1011.563 ,1013.875 ,0
431,1013.875 ,1016.188 ,0
432,1016.188 ,1018.500 ,0
433,1018.500 ,1020.813 ,0
434,1020.813 ,1023.125 ,0
435,1023.125 ,1025.438 ,0
436,1025.438 ,1027.750 ,0
437,1027.750 ,1030.063 ,0
438,1030.063 ,1032.375 ,0
439,1032.375 ,1034.688 ,0
440,1034.688 ,1037.000 ,0
441,1037.000 ,1039.313 ,0
442,1039.313 ,1041.625 ,0
443,1041.625 ,1043.938 ,0
444,1043.938 ,1046.250 ,0
445,1046.250 ,1048.563 ,0
446,1048.563 ,1050.875 ,1
447,1050.875 ,1053.188 ,1
448,1053.188 ,1055.500 ,0
449,1055.500 ,1057.813 ,0
450,1057.813 ,1060.125 ,0
451,1060.125 ,1062.438 ,0
452,1062.438 ,1064.750 ,0
453,1064.750 ,1067.063 ,0
454,1067.063 ,1069.375 ,0
455,1069.375 ,1071.688 ,0
456,1071.688 ,1074.000 ,0
457,1074.000 ,1076.313 ,1
458,1076.313 ,1078.625 ,1
459,1078.625 ,1080.938 ,0
460,1080.938 ,1083.250 ,0
461,1083.250 ,1085.563 ,0
462,1085.563 ,1087.875 ,0
463,1087.875 ,1090.188 ,0
464,1090.188 ,1092.500 ,0
465,1092.500 ,1094.813 ,0
466,1094.813 ,1097.125 ,0
467,1097.125 ,1099.438 ,0
468,1099.438 ,1101.750 ,0
469,1101.750 ,1104.063 ,1
470,1104.063 ,1106.375 ,0
471,1106.375 ,1108.688 ,0
472,1108.688 ,1111.000 ,0
473,1111.000 ,1113.313 ,0
474,1113.313 ,1115.625 ,0
475,1115.625 ,1117.938 ,0
476,1117.938 ,1120.250 ,0
477,1120.250 ,1122.563 ,0
478,1122.563 ,1124.875 ,0
479,1124.875 ,1127.188 ,0
480,1127.188 ,1129.500 ,0
481,1129.500 ,1131.813 ,0
482,1131.813 ,1134.125 ,0
483,1134.125 ,1136.438 ,0
484,1136.438 ,1138.750 ,0
485,1138.750 ,1141.063 ,0
486,1141.063 ,1143.375 ,1
487,1143.375 ,1145.688 ,0
488,1145.688 ,1148.000 ,0
489,1148.000 ,1150.313 ,1
490,1150.313 ,1152.625 ,1
491,1152.625 ,1154.938 ,1
492,1154.938 ,1157.250 ,0
493,1157.250 ,1159.563 ,0
494,1159.563 ,1161.875 ,0
495,1161.875 ,1164.188 ,0
496,1164.188 ,1166.500 ,0
497,1166.500 ,1168.813 ,0
498,1168.813 ,1171.125 ,0
499,1171.125 ,1173.438 ,0
500,1173.438 ,1175.750 ,0
501,1175.750 ,1178.063 ,0
502,1178.063 ,1180.375 ,0
503,1180.375 ,1182.688 ,0
504,1182.688 ,1185.000 ,1
505,1185.000 ,1187.313 ,1
506,1187.313 ,1189.625 ,0
507,1189.625 ,1191.938 ,1
508,1191.938 ,1194.250 ,1
509,1194.250 ,1196.563 ,1
510,1196.563 ,1198.875 ,1
511,1198.875 ,1201.188 ,1
512,1201.188 ,1203.500 ,1
513,1203.500 ,1205.813 ,1
514,1205.813 ,1208.125 ,1
515,1208.125 ,1210.438 ,0
516,1210.438 ,1212.750 ,0
517,1212.750 ,1215.063 ,0
518,1215.063 ,1217.375 ,0
519,1217.375 ,1219.688 ,0
520,1219.688 ,1222.000 ,0
521,1222.000 ,1224.313 ,0
522,1224.313 ,1226.625 ,0
523,1226.625 ,1228.938 ,1
524,1228.938 ,1231.250 ,0
525,1231.250 ,1233.563 ,0
526,1233.563 ,1235.875 ,0
527,1235.875 ,1238.188 ,0
528,1238.188 ,1240.500 ,0
529,1240.500 ,1242.813 ,0
530,1242.813 ,1245.125 ,0
531,1245.125 ,1247.438 ,0
532,1247.438 ,1249.750 ,0
533,1249.750 ,1252.063 ,1
534,1252.063 ,1254.375 ,0
535,1254.375 ,1256.688 ,0
536,1256.688 ,1259.000 ,0
537,1259.000 ,1261.313 ,0
538,1261.313 ,1263.625 ,0
539,1263.625 ,1265.938 ,0
540,1265.938 ,1268.250 ,0
541,1268.250 ,1270.563 ,0
542,1270.563 ,1272.875 ,0
543,1272.875 ,1275.188 ,1
544,1275.188 ,1277.500 ,1
545,1277.500 ,1279.813 ,0
546,1279.813 ,1282.125 ,0
547,1282.125 ,1284.438 ,0
548,1284.438 ,1286.750 ,0
549,1286.750 ,1289.063 ,0
550,1289.063 ,1291.375 ,0
551,1291.375 ,1293.688 ,0
552,1293.688 ,1296.000 ,0
553,1296.000 ,1298.313 ,0
554,1298.313 ,1300.625 ,0
555,1300.625 ,1302.938 ,0
556,1302.938 ,1305.250 ,0
557,1305.250 ,1307.563 ,0
558,1307.563 ,1309.875 ,0
559,1309.875 ,1312.188 ,0
560,1312.188 ,1314.500 ,0
561,1314.500 ,1316.813 ,0
562,1316.813 ,1319.125 ,0
563,1319.125 ,1321.438 ,0
564,1321.438 ,1323.750 ,0
565,1323.750 ,1326.063 ,0
566,1326.063 ,1328.375 ,1
567,1328.375 ,1330.688 ,1
568,1330.688 ,1333.000 ,0
569,1333.000 ,1335.313 ,0
570,1335.313 ,1337.625 ,0
571,1337.625 ,1339.938 ,0
572,1339.938 ,1342.250 ,0
573,1342.250 ,1344.563 ,0
574,1344.563 ,1346.875 ,0
575,1346.875 ,1349.188 ,0
576,1349.188 ,1351.500 ,0
577,1351.500 ,1353.813 ,0
578,1353.813 ,1356.125 ,0
579,1356.125 ,1358.438 ,0
580,1358.438 ,1360.750 ,0
581,1360.750 ,1363.063 ,0
582,1363.063 ,1365.375 ,0
583,1365.375 ,1367.688 ,0
584,1367.688 ,1370.000 ,0
585,1370.000 ,1372.313 ,1
586,1372.313 ,1374.625 ,0
587,1374.625 ,1376.938 ,0
588,1376.938 ,1379.250 ,0
589,1379.250 ,1381.563 ,0
590,1381.563 ,1383.875 ,0
591,1383.875 ,1386.188 ,0
592,1386.188 ,1388.500 ,0
593,1388.500 ,1390.813 ,1
594,1390.813 ,1393.125 ,1
595,1393.125 ,1395.438 ,1
596,1395.438 ,1397.750 ,1
597,1397.750 ,1400.063 ,1
598,1400.063 ,1402.375 ,1
599,1402.375 ,1404.688 ,1
600,1404.688 ,1407.000 ,1
601,1407.000 ,1409.313 ,0
602,1409.313 ,1411.625 ,0
603,1411.625 ,1413.938 ,0
604,1413.938 ,1416.250 ,0
605,1416.250 ,1418.563 ,0
606,1418.563 ,1420.875 ,1
607,1420.875 ,1423.188 ,0
608,1423.188 ,1425.500 ,0
609,1425.500 ,1427.813 ,0
610,1427.813 ,1430.125 ,0
611,1430.125 ,1432.438 ,0
612,1432.438 ,1434.750 ,0
613,1434.750 ,1437.063 ,0
614,1437.063 ,1439.375 ,0
615,1439.375 ,1441.688 ,0
616,1441.688 ,1444.000 ,1
617,1444.000 ,1446.313 ,1
618,1446.313 ,1448.625 ,0
619,1448.625 ,1450.938 ,1
620,1450.938 ,1453.250 ,0
621,1453.250 ,1455.563 ,0
622,1455.563 ,1457.875 ,0
623,1457.875 ,1460.188 ,0
624,1460.188 ,1462.500 ,0
625,1462.500 ,1464.813 ,0
626,1464.813 ,1467.125 ,0
627,1467.125 ,1469.438 ,0
628,1469.438 ,1471.750 ,1
629,1471.750 ,1474.063 ,1
630,1474.063 ,1476.375 ,1
631,1476.375 ,1478.688 ,1
632,1478.688 ,1481.000 ,0
633,1481.000 ,1483.313 ,0
634,1483.313 ,1485.625 ,0
635,1485.625 ,1487.938 ,0
636,1487.938 ,1490.250 ,0
637,1490.250 ,1492.563 ,0
638,1492.563 ,1494.875 ,0
639,1494.875 ,1497.188 ,0
640,1497.188 ,1499.500 ,0
641,1499.500 ,1501.813 ,1
642,1501.813 ,1504.125 ,1
643,1504.125 ,1506.438 ,0
644,1506.438 ,1508.750 ,0
645,1508.750 ,1511.063 ,0
646,1511.063 ,1513.375 ,0
647,1513.375 ,1515.688 ,0
648,1515.688 ,1518.000 ,0
649,1518.000 ,1520.313 ,1
650,1520.313 ,1522.625 ,1
651,1522.625 ,1524.938 ,1
652,1524.938 ,1527.250 ,1
653,1527.250 ,1529.563 ,1
654,1529.563 ,1531.875 ,1
655,1531.875 ,1534.188 ,0
656,1534.188 ,1536.500 ,0
657,1536.500 ,1538.813 ,0
658,1538.813 ,1541.125 ,0
659,1541.125 ,1543.438 ,0
660,1543.438 ,1545.750 ,0
661,1545.750 ,1548.063 ,0
662,1548.063 ,1550.375 ,0
663,1550.375 ,1552.688 ,0
664,1552.688 ,1555.000 ,0
665,1555.000 ,1557.313 ,0
666,1557.313 ,1559.625 ,0
667,1559.625 ,1561.938 ,0
668,1561.938 ,1564.250 ,0
669,1564.250 ,1566.563 ,0
670,1566.563 ,1568.875 ,0
671,1568.875 ,1571.188 ,0
672,1571.188 ,1573.500 ,0
673,1573.500 ,1575.813 ,0
674,1575.813 ,1578.125 ,0
675,1578.125 ,1580.438 ,0
676,1580.438 ,1582.750 ,0
677,1582.750 ,1585.063 ,0
678,1585.063 ,1587.375 ,0
679,1587.375 ,1589.688 ,0
680,1589.688 ,1592.000 ,1
681,1592.000 ,1594.313 ,1
682,1594.313 ,1596.625 ,1
683,1596.625 ,1598.938 ,1
684,1598.938 ,1601.250 ,1
685,1601.250 ,1603.563 ,1
686,1603.563 ,1605.875 ,1
687,1605.875 ,1608.188 ,1
688,1608.188 ,1610.500 ,0
689,1610.500 ,1612.813 ,0
690,1612.813 ,1615.125 ,0
691,1615.125 ,1617.438 ,0
692,1617.438 ,1619.750 ,0
693,1619.750 ,1622.063 ,0
694,1622.063 ,1624.375 ,0
695,1624.375 ,1626.688 ,0
696,1626.688 ,1629.000 ,0
697,1629.000 ,1631.313 ,0
698,1631.313 ,1633.625 ,0
699,1633.625 ,1635.938 ,0
700,1635.938 ,1638.250 ,0
701,1638.250 ,1640.563 ,0
702,1640.563 ,1642.875 ,0
703,1642.875 ,1645.188 ,0
704,1645.188 ,1647.500 ,1
705,1647.500 ,1649.813 ,1
706,1649.813 ,1652.125 ,1
707,1652.125 ,1654.438 ,1
708,1654.438 ,1656.750 ,0
709,1656.750 ,1659.063 ,0
710,1659.063 ,1661.375 ,0
711,1661.375 ,1663.688 ,0
712,1663.688 ,1666.000 ,0
713,1666.000 ,1668.313 ,0
714,1668.313 ,1670.625 ,0
715,1670.625 ,1672.938 ,0
716,1672.938 ,1675.250 ,0
717,1675.250 ,1677.563 ,0
718,1677.563 ,1679.875 ,0
719,1679.875 ,1682.188 ,0
720,1682.188 ,1684.500 ,0
721,1684.500 ,1686.813 ,0
722,1686.813 ,1689.125 ,0
723,1689.125 ,1691.438 ,0
724,1691.438 ,1693.750 ,0
725,1693.750 ,1696.063 ,0
726,1696.063 ,1698.375 ,0
727,1698.375 ,1700.688 ,0
728,1700.688 ,1703.000 ,0
729,1703.000 ,1705.313 ,0
730,1705.313 ,1707.625 ,0
731,1707.625 ,1709.938 ,0
732,1709.938 ,1712.250 ,0
733,1712.250 ,1714.563 ,0
734,1714.563 ,1716.875 ,0
735,1716.875 ,1719.188 ,0
736,1719.188 ,1721.500 ,0
737,1721.500 ,1723.813 ,0
738,1723.813 ,1726.125 ,0
739,1726.125 ,1728.438 ,0
740,1728.438 ,1730.750 ,0
741,1730.750 ,1733.063 ,0
742,1733.063 ,1735.375 ,0
743,1735.375 ,1737.688 ,0
744,1737.688 ,1740.000 ,0
745,1740.000 ,1742.313 ,0
746,1742.313 ,1744.625 ,0
747,1744.625 ,1746.938 ,0
748,1746.938 ,1749.250 ,0
749,1749.250 ,1751.563 ,0
750,1751.563 ,1753.875 ,0
751,1753.875 ,1756.188 ,0
752,1756.188 ,1758.500 ,0
753,1758.500 ,1760.813 ,0
754,1760.813 ,1763.125 ,0
755,1763.125 ,1765.438 ,0
756,1765.438 ,1767.750 ,0
757,1767.750 ,1770.063 ,0
758,1770.063 ,1772.375 ,0
759,1772.375 ,1774.688 ,0
760,1774.688 ,1777.000 ,0
761,1777.000 ,1779.313 ,0
762,1779.313 ,1781.625 ,0
763,1781.625 ,1783.938 ,0
764,1783.938 ,1786.250 ,0
765,1786.250 ,1788.563 ,0
766,1788.563 ,1790.875 ,0
767,1790.875 ,1793.188 ,1
768,1793.188 ,1795.500 ,1
769,1795.500 ,1797.813 ,1
770,1797.813 ,1800.125 ,1
771,1800.125 ,1802.438 ,1
772,1802.438 ,1804.750 ,1
773,1804.750 ,1807.063 ,1
774,1807.063 ,1809.375 ,0
775,1809.375 ,1811.688 ,0
776,1811.688 ,1814.000 ,0
777,1814.000 ,1816.313 ,1
778,1816.313 ,1818.625 ,1
779,1818.625 ,1820.938 ,0
780,1820.938 ,1823.250 ,0
781,1823.250 ,1825.563 ,0
782,1825.563 ,1827.875 ,0
783,1827.875 ,1830.188 ,0
784,1830.188 ,1832.500 ,0
785,1832.500 ,1834.813 ,0
786,1834.813 ,1837.125 ,0
787,1837.125 ,1839.438 ,0
788,1839.438 ,1841.750 ,0
789,1841.750 ,1844.063 ,0
790,1844.063 ,1846.375 ,0
791,1846.375 ,1848.688 ,0
792,1848.688 ,1851.000 ,0
793,1851.000 ,1853.313 ,0
794,1853.313 ,1855.625 ,0
795,1855.625 ,1857.938 ,0
796,1857.938 ,1860.250 ,0
797,1860.250 ,1862.563 ,0
798,1862.563 ,1864.875 ,0
799,1864.875 ,1867.188 ,0
800,1867.188 ,1869.500 ,0
801,1869.500 ,1871.813 ,0
802,1871.813 ,1874.125 ,0
803,1874.125 ,1876.438 ,0
804,1876.438 ,1878.750 ,1
805,1878.750 ,1881.063 ,0
806,1881.063 ,1883.375 ,0
807,1883.375 ,1885.688 ,0
808,1885.688 ,1888.000 ,0
809,1888.000 ,1890.313 ,0
810,1890.313 ,1892.625 ,0
811,1892.625 ,1894.938 ,0
812,1894.938 ,1897.250 ,0
813,1897.250 ,1899.563 ,1
814,1899.563 ,1901.875 ,1
815,1901.875 ,1904.188 ,1
816,1904.188 ,1906.500 ,0
817,1906.500 ,1908.813 ,0
818,1908.813 ,1911.125 ,0
819,1911.125 ,1913.438 ,0
820,1913.438 ,1915.750 ,0
